,client_id,sex,birth_date,district_id
388,409,Male,1925-06-18,74
389,410,Male,1962-12-20,62
390,411,Female,1941-04-14,17
391,412,Male,1944-04-17,17
392,413,Female,1972-11-18,49
393,414,Female,1947-10-19,46
394,415,Male,1945-04-01,46
395,416,Female,1932-10-07,1
396,417,Male,1930-06-10,1
397,418,Male,1966-10-13,28
398,419,Female,1970-10-07,64
399,420,Male,1978-03-13,18
400,421,Male,1965-07-31,54
401,422,Male,1946-12-07,69
402,423,Male,1957-06-23,37
403,424,Male,1947-10-08,1
404,425,Male,1948-02-12,25
405,426,Male,1937-06-01,72
406,427,Female,1941-09-14,72
407,428,Female,1919-11-16,47
408,429,Female,1981-01-20,50
409,430,Male,1920-07-28,39
410,431,Female,1927-10-01,24
411,432,Female,1952-03-26,59
412,433,Male,1955-02-07,62
413,434,Female,1943-01-30,70
414,435,Male,1967-10-23,20
415,436,Male,1955-06-15,2
416,437,Female,1920-01-17,11
417,438,Male,1938-09-28,32
418,439,Female,1968-09-12,51
419,440,Female,1970-07-07,15
420,441,Male,1959-09-14,1
421,442,Female,1971-12-16,1
422,443,Male,1971-12-20,1
423,444,Female,1960-08-01,74
424,445,Female,1947-04-27,1
425,446,Male,1952-03-19,1
426,447,Male,1946-09-04,23
427,448,Female,1970-08-15,77
428,450,Male,1953-11-27,25
429,451,Male,1979-04-14,12
430,452,Female,1953-10-22,55
431,453,Male,1969-07-16,67
432,454,Female,1949-06-15,38
433,455,Male,1920-07-26,68
434,456,Male,1940-02-28,25
435,457,Male,1950-09-26,70
436,458,Male,1961-07-24,68
437,459,Female,1967-07-23,32
438,461,Female,1970-08-13,68
439,462,Male,1970-12-21,14
440,463,Male,1944-04-05,38
441,464,Female,1959-07-30,24
442,465,Male,1952-09-01,5
443,466,Female,1947-11-19,1
444,467,Male,1950-04-17,1
445,468,Male,1959-04-27,72
446,469,Female,1970-10-13,59
447,470,Female,1954-04-21,30
448,471,Male,1977-01-11,44
449,472,Male,1981-12-27,36
450,473,Female,1939-09-25,1
451,474,Male,1949-05-31,46
452,476,Female,1947-06-01,1
453,477,Male,1954-07-20,1
454,478,Male,1978-06-21,21
455,479,Male,1947-08-20,11
456,480,Female,1946-01-24,11
457,481,Male,1927-01-22,69
458,482,Female,1934-01-22,69
459,483,Male,1944-06-19,1
460,484,Female,1959-09-13,28
461,485,Male,1978-05-16,32
462,486,Male,1944-04-12,68
463,487,Female,1922-04-01,1
464,488,Male,1917-08-02,1
465,489,Male,1940-10-07,41
466,490,Male,1950-10-23,55
467,491,Male,1966-08-05,63
468,492,Male,1935-10-26,72
469,493,Female,1942-06-04,41
470,494,Male,1980-05-19,1
471,495,Female,1937-04-07,49
472,496,Female,1951-05-21,70
473,497,Male,1953-02-02,74
474,498,Female,1948-01-15,74
475,499,Female,1935-07-08,18
476,500,Male,1971-01-06,1
477,501,Male,1937-10-28,62
478,502,Male,1919-12-08,6
479,503,Male,1959-07-24,73
480,504,Male,1979-08-01,36
481,505,Male,1977-12-21,13
482,506,Male,1946-08-16,75
483,507,Male,1954-11-16,75
484,508,Male,1971-04-28,53
485,509,Male,1980-05-02,73
486,510,Male,1976-04-15,12
487,511,Male,1959-02-18,9
488,512,Female,1965-08-03,60
489,513,Female,1974-01-11,8
490,514,Male,1968-11-15,8
491,515,Male,1932-05-26,1
492,516,Female,1930-04-27,1
493,517,Male,1965-07-25,63
494,518,Female,1979-04-28,54
495,519,Male,1980-04-13,18
496,520,Female,1947-09-27,46
497,521,Male,1975-12-25,69
498,522,Female,1956-03-04,1
499,523,Male,1922-12-17,38
500,524,Female,1963-01-02,30
501,525,Male,1969-08-14,30
502,526,Male,1964-02-01,43
503,527,Female,1966-08-18,43
504,528,Male,1977-02-11,37
505,529,Male,1978-11-05,69
506,530,Female,1957-09-27,29
507,531,Male,1976-10-04,27
508,532,Female,1980-09-03,27
509,533,Female,1941-05-19,54
510,534,Male,1957-07-22,74
511,535,Male,1937-09-09,26
512,536,Male,1939-08-25,47
513,537,Male,1935-01-16,1
514,538,Female,1948-05-10,5
515,540,Male,1921-07-28,19
516,541,Female,1927-03-09,19
517,542,Female,1921-02-09,59
518,543,Female,1958-04-15,11
519,544,Male,1948-11-16,63
520,545,Female,1973-10-11,75
521,546,Male,1953-08-25,7
522,547,Male,1949-03-31,54
523,548,Male,1937-12-04,49
524,550,Male,1961-11-30,7
525,551,Female,1976-07-05,47
526,552,Female,1934-05-08,1
527,553,Male,1941-04-07,1
528,554,Female,1925-04-19,30
529,555,Male,1926-10-21,30
530,556,Male,1946-07-08,29
531,557,Male,1939-07-17,51
532,558,Female,1920-07-05,43
533,559,Female,1972-09-05,32
534,560,Female,1967-12-16,71
535,561,Female,1962-11-10,74
536,562,Female,1975-09-22,49
537,563,Female,1961-09-09,72
538,564,Male,1955-01-24,72
539,565,Female,1959-07-03,64
540,566,Female,1946-03-05,47
541,567,Male,1950-05-02,47
542,568,Female,1960-07-19,8
543,569,Male,1962-06-15,73
544,570,Female,1941-01-31,61
545,571,Male,1924-09-27,3
546,572,Female,1920-08-04,3
547,573,Male,1967-08-10,69
548,574,Male,1972-12-25,1
549,575,Male,1970-04-04,58
550,576,Female,1974-05-12,58
551,577,Female,1963-12-05,1
552,578,Female,1977-07-07,23
553,579,Female,1933-05-31,72
554,581,Female,1949-02-04,70
555,582,Male,1950-09-26,1
556,583,Female,1965-01-01,75
557,584,Female,1976-05-13,33
558,585,Female,1942-02-21,40
559,586,Male,1947-11-03,40
560,587,Female,1945-07-08,25
561,588,Female,1960-10-20,61
562,589,Male,1961-09-17,45
563,590,Male,1949-02-15,44
564,591,Female,1974-10-29,65
565,592,Male,1965-07-18,26
566,593,Female,1954-07-10,60
567,596,Male,1948-10-24,69
568,597,Male,1943-02-22,55
569,598,Male,1970-12-31,1
570,599,Female,1977-05-18,1
571,601,Male,1966-03-12,56
572,602,Female,1965-01-16,56
573,603,Female,1966-03-09,13
574,604,Female,1965-07-31,1
575,605,Female,1970-08-27,1
576,606,Female,1949-01-25,10
577,607,Male,1964-03-30,64
578,608,Male,1972-08-31,67
579,609,Male,1962-09-02,52
580,610,Female,1979-08-10,74
581,611,Male,1952-10-13,36
582,612,Female,1960-11-10,36
583,613,Female,1977-08-10,1
584,614,Female,1947-02-03,14
585,615,Female,1949-09-13,68
586,616,Male,1975-01-01,58
587,617,Male,1974-03-14,70
588,618,Female,1932-03-16,57
589,619,Male,1920-09-07,6
590,620,Female,1918-02-13,6
591,621,Male,1939-03-17,54
592,622,Female,1931-11-23,74
593,623,Male,1925-09-04,24
594,624,Female,1932-07-26,24
595,625,Female,1978-11-24,60
596,626,Male,1980-04-13,9
597,627,Male,1972-04-11,17
598,628,Female,1970-05-27,17
599,629,Male,1976-03-10,16
600,630,Male,1952-03-03,61
601,631,Female,1956-03-22,70
602,632,Male,1946-03-16,67
603,633,Female,1938-06-12,67
604,635,Female,1927-06-29,17
605,636,Male,1935-02-17,17
606,637,Female,1970-12-15,39
607,638,Female,1961-02-03,54
608,639,Male,1978-08-02,31
609,640,Male,1979-04-15,26
610,641,Female,1962-07-04,40
611,642,Male,1963-10-25,40
612,643,Female,1949-06-13,1
613,644,Female,1961-04-23,35
614,645,Male,1925-12-21,14
615,646,Female,1922-09-29,34
616,647,Male,1929-04-06,34
617,648,Female,1935-09-28,70
618,649,Female,1978-05-02,13
619,651,Female,1976-01-27,54
620,652,Male,1938-12-08,61
621,653,Female,1930-11-21,1
622,654,Female,1942-05-17,64
623,655,Male,1942-12-10,32
624,656,Male,1956-06-06,1
625,657,Female,1926-07-10,8
626,658,Male,1926-12-21,8
627,659,Male,1965-12-07,24
628,660,Male,1923-03-22,16
629,661,Female,1919-01-15,16
630,662,Male,1945-08-07,5
631,663,Male,1923-01-20,24
632,664,Female,1980-03-19,77
633,665,Female,1932-04-05,62
634,666,Male,1982-05-23,26
635,667,Female,1981-07-20,26
636,668,Female,1942-12-25,1
637,669,Female,1956-12-19,12
638,670,Male,1959-01-21,1
639,671,Female,1971-02-27,10
640,672,Female,1929-11-09,46
641,673,Male,1939-10-29,36
642,674,Female,1927-01-11,11
643,675,Male,1975-11-12,50
644,676,Male,1953-02-07,70
645,677,Male,1963-05-24,5
646,678,Female,1933-05-28,39
647,679,Male,1940-03-19,8
648,680,Female,1940-05-09,8
649,681,Male,1977-01-15,15
650,682,Male,1979-10-21,18
651,683,Female,1945-08-29,76
652,684,Female,1976-04-10,3
653,685,Female,1930-12-13,72
654,686,Female,1971-10-03,32
655,687,Male,1975-01-28,32
656,688,Male,1954-05-04,1
657,689,Male,1964-08-02,70
658,690,Male,1942-11-07,38
659,691,Female,1944-01-13,38
660,692,Female,1936-01-11,74
661,693,Male,1935-03-17,74
662,694,Male,1936-02-28,29
663,695,Male,1955-06-27,28
664,696,Female,1952-12-01,28
665,697,Male,1974-05-01,1
666,698,Male,1954-02-27,75
667,699,Female,1922-04-22,26
668,700,Male,1929-11-20,12
669,702,Female,1968-11-07,31
670,703,Male,1959-04-26,4
671,704,Male,1975-05-01,54
672,705,Male,1938-12-10,19
673,706,Male,1948-08-05,1
674,707,Male,1941-12-14,1
675,708,Female,1977-11-27,50
676,709,Male,1934-12-29,1
677,710,Male,1925-11-28,23
678,711,Female,1963-08-16,48
679,712,Male,1962-12-04,54
680,713,Female,1980-03-29,20
681,714,Male,1970-10-08,31
682,715,Female,1952-01-15,1
683,716,Female,1954-12-04,1
684,717,Male,1968-05-02,54
685,718,Female,1960-02-28,54
686,719,Male,1974-08-09,46
687,720,Male,1954-09-06,29
688,721,Male,1940-02-15,43
689,722,Female,1970-11-25,62
690,723,Female,1957-07-26,12
691,724,Female,1953-02-02,65
692,725,Male,1956-12-11,75
693,726,Male,1935-02-13,16
694,727,Female,1930-07-20,32
695,728,Male,1932-01-20,32
696,729,Female,1969-03-17,63
697,730,Male,1973-08-14,63
698,731,Female,1979-01-22,74
699,732,Male,1978-07-05,74
700,733,Male,1978-07-28,46
701,734,Female,1985-01-14,46
702,735,Male,1973-11-26,1
703,736,Female,1977-04-26,1
704,737,Male,1952-11-04,74
705,738,Male,1920-03-26,25
706,739,Male,1942-04-16,72
707,740,Male,1923-11-07,55
708,741,Male,1941-07-09,74
709,742,Female,1951-10-15,1
710,743,Male,1941-02-17,1
711,744,Male,1940-07-18,26
712,745,Female,1966-02-14,52
713,746,Male,1962-04-16,52
714,747,Female,1953-08-20,24
715,748,Male,1936-10-15,25
716,749,Female,1933-07-29,25
717,750,Female,1956-09-29,70
718,751,Male,1959-03-09,70
719,752,Male,1944-12-20,72
720,753,Female,1940-09-24,72
721,754,Female,1947-06-04,63
722,755,Male,1947-11-21,72
723,756,Male,1920-05-13,31
724,757,Female,1970-12-20,71
725,758,Female,1961-07-26,68
726,759,Male,1955-05-20,29
727,760,Female,1936-08-25,57
728,762,Male,1937-04-20,21
729,763,Female,1927-08-24,75
730,764,Female,1955-10-13,49
731,765,Male,1969-12-31,65
732,766,Female,1926-07-03,1
733,767,Male,1923-06-16,1
734,768,Female,1931-09-23,32
735,769,Male,1977-12-15,40
736,772,Male,1944-12-10,64
737,773,Male,1935-10-30,4
738,774,Male,1973-03-03,70
739,775,Female,1940-11-30,51
740,776,Female,1953-05-03,1
741,777,Male,1961-05-20,1
742,778,Male,1940-06-04,13
743,779,Female,1944-06-12,69
744,780,Male,1924-02-26,3
745,781,Male,1945-09-20,72
746,782,Female,1963-03-18,5
747,783,Female,1971-03-25,27
748,784,Male,1964-12-28,27
749,785,Male,1934-09-09,63
750,786,Male,1978-09-06,53
751,787,Male,1947-12-08,3
752,788,Male,1974-09-03,47
753,789,Male,1931-09-21,4
754,790,Female,1967-05-09,63
755,791,Female,1950-09-29,68
756,793,Male,1978-02-04,21
757,794,Female,1979-07-16,21
758,796,Male,1919-08-30,1
759,797,Male,1948-01-27,8
760,798,Female,1940-02-12,27
761,799,Male,1936-02-19,27
762,803,Male,1951-02-15,35
763,804,Female,1956-01-23,35
764,806,Male,1980-04-22,60
765,807,Female,1969-10-21,53
766,808,Male,1963-11-28,31
767,809,Male,1919-10-15,49
768,810,Female,1945-09-24,58
769,811,Male,1940-05-28,58
770,812,Male,1940-12-06,39
771,813,Male,1964-01-29,70
772,814,Male,1959-10-01,19
773,815,Female,1964-10-27,22
774,816,Female,1958-02-01,17
775,818,Male,1966-04-27,54
776,819,Male,1958-07-08,74
777,820,Female,1960-11-06,74
778,821,Male,1948-05-12,49
779,822,Female,1959-05-08,37
780,823,Male,1956-10-24,41
781,824,Male,1952-09-05,27
782,825,Male,1977-04-02,74
783,826,Male,1978-01-23,1
784,827,Female,1965-09-04,10
785,828,Male,1958-12-10,10
786,829,Male,1957-05-19,24
787,830,Male,1948-08-27,69
788,831,Male,1948-05-02,2
789,832,Female,1923-12-23,67
790,833,Male,1960-06-11,5
791,834,Male,1922-12-17,54
792,835,Female,1943-10-20,28
793,836,Male,1948-06-14,28
794,837,Male,1974-10-14,71
795,838,Female,1968-02-04,71
796,839,Female,1955-05-18,47
797,840,Male,1937-04-26,20
798,841,Male,1981-02-10,69
799,842,Female,1933-07-03,12
800,843,Female,1957-09-03,54
801,844,Male,1945-01-14,22
802,845,Female,1953-01-30,22
803,846,Male,1949-12-01,35
804,847,Male,1979-12-25,49
805,849,Female,1939-06-06,26
806,850,Male,1969-09-21,19
807,851,Male,1919-06-16,25
808,852,Female,1916-06-04,25
809,853,Male,1949-06-02,70
810,854,Female,1941-11-02,72
811,855,Male,1930-01-28,58
812,856,Male,1919-01-22,23
813,857,Male,1948-02-21,32
814,858,Female,1959-03-29,47
815,859,Female,1968-07-29,1
816,860,Male,1967-12-08,1
817,861,Female,1956-09-13,1
818,862,Male,1952-01-05,30
819,863,Female,1968-11-29,54
820,864,Male,1953-03-27,11
821,865,Female,1946-11-03,11
822,866,Female,1975-11-24,38
823,870,Male,1957-05-06,70
824,871,Male,1974-03-11,76
825,872,Male,1963-02-22,35
826,873,Male,1944-01-05,60
827,874,Female,1952-09-05,14
828,875,Male,1956-12-07,14
829,876,Male,1960-11-25,1
830,877,Female,1927-01-21,5
831,878,Male,1920-04-17,5
832,879,Female,1943-12-08,38
833,880,Male,1960-02-17,49
834,881,Female,1975-02-22,5
835,882,Female,1933-09-09,70
836,883,Female,1920-01-06,75
837,884,Male,1918-10-14,75
838,885,Male,1923-02-08,34
839,886,Male,1948-02-02,34
840,887,Female,1973-11-28,66
841,888,Male,1973-10-26,28
842,889,Female,1981-10-24,54
843,890,Male,1919-03-30,77
844,891,Male,1931-01-31,33
845,892,Female,1922-05-24,42
846,893,Female,1935-10-23,43
847,894,Male,1934-08-18,75
848,895,Male,1970-07-03,39
849,896,Female,1973-04-24,36
850,897,Male,1981-03-25,36
851,898,Female,1943-04-27,38
852,899,Male,1944-02-13,38
853,900,Male,1977-04-10,73
854,901,Male,1919-12-21,39
855,902,Male,1950-08-15,23
856,903,Male,1934-03-06,31
857,904,Male,1932-02-08,1
858,905,Male,1940-10-23,38
859,906,Male,1978-06-16,65
860,907,Male,1948-03-11,51
861,908,Female,1961-03-07,51
862,909,Male,1975-09-07,23
863,910,Male,1961-09-27,1
864,911,Male,1939-11-28,43
865,912,Male,1920-10-29,76
866,913,Male,1938-11-18,1
867,914,Female,1921-01-19,1
868,915,Male,1975-05-03,12
869,916,Male,1958-06-29,3
870,917,Female,1973-09-16,25
871,918,Male,1964-12-23,26
